código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
1644	Índice Nacional de Preços ao Consumidor (INPC), Alimentos e bebidas	Preços e Índices por Setor (Inflação)	9	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação mensal dos preços de alimentos e bebidas, uma das categorias mais relevantes para o custo de vida.	National consumer price index (INPC), Food and beverages	BCB - Banco Central do Brasil
1645	Índice Nacional de Preços ao Consumidor (INPC), Habitação	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação mensal dos preços de serviços relacionados à habitação, como aluguel e eletricidade.	National consumer price index (INPC), Housing	BCB - Banco Central do Brasil
1646	Índice Nacional de Preços ao Consumidor (INPC), Bens domésticos	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação mensal dos preços de bens domésticos, como móveis e eletrodomésticos.	National consumer price index (INPC), Domestic goods	BCB - Banco Central do Brasil
1647	Índice Nacional de Preços ao Consumidor (INPC), Vestuário	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação mensal dos preços de vestuário, uma categoria importante do INPC.	National consumer price index (INPC), Clothing	BCB - Banco Central do Brasil
1648	Índice Nacional de Preços ao Consumidor (INPC), Transporte	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/09/1999	300	Reflete a variação mensal dos preços de transporte, como combustível e passagens.	National consumer price index (INPC), Transport	BCB - Banco Central do Brasil
1649	Índice Nacional de Preços ao Consumidor (INPC), Comunicação	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/09/1999	300	Reflete a variação mensal dos preços de serviços e produtos de comunicação, uma categoria importante do INPC.	National consumer price index (INPC), Communication	BCB - Banco Central do Brasil
1650	Índice Nacional de Preços ao Consumidor (INPC), Saúde e cuidados pessoais	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação mensal dos preços de produtos e serviços de saúde e cuidados pessoais.	National consumer price index (INPC), Health and personal care	BCB - Banco Central do Brasil
1651	Índice Nacional de Preços ao Consumidor (INPC), Despesas pessoais	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação mensal dos preços de serviços e produtos para despesas pessoais, como lazer e beleza.	National consumer price index (INPC), Personal expenditures	BCB - Banco Central do Brasil
1652	Índice Nacional de Preços ao Consumidor (INPC), Educação	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/09/1999	300	Reflete a variação mensal dos preços de serviços educacionais, essencial para monitorar o impacto da inflação na educação.	National consumer price index (INPC), Education	BCB - Banco Central do Brasil
4447	Índice de Preços ao Consumidor Amplo (IPCA), bens comercializáveis	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/01/1992	392	Reflete a variação dos preços de bens comercializáveis internacionalmente, como produtos importados ou exportados. Importante para entender os impactos do comércio exterior na inflação.	Broad national consumer price index (IPCA), Tradables	BCB - Banco Central do Brasil
4448	Índice de Preços ao Consumidor Amplo (IPCA), bens e serviços não comercializáveis	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/01/1992	392	Mede a variação dos preços de bens e serviços que não podem ser comercializados internacionalmente, como serviços locais. Essencial para medir a inflação no mercado doméstico.	Broad national consumer price index (IPCA), Nontradables	BCB - Banco Central do Brasil
4449	Índice de Preços ao Consumidor Amplo (IPCA), preços administrados	Preços e Índices por Setor (Inflação)	9	% var. ao mês	Mensal	01/01/1992	392	Reflete a variação dos preços controlados ou monitorados pelo governo, como tarifas de energia e combustíveis, essenciais para entender a inflação em itens não determinados pelo mercado.	Broad National Consumer Price Index (IPCA), Administred prices	BCB - Banco Central do Brasil
4466	Índice de Preços ao Consumidor Amplo (IPCA) - Núcleo suavizado com média aparada	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1996	343	Índice que exclui extremos de variações de preços e aplica uma suavização estatística para reduzir o impacto de itens altamente voláteis. Útil para análise de tendências de longo prazo na inflação.	Broad national consumer price index, Smoothed trimmed mean Core IPCA	BCB - Banco Central do Brasil
4467	Índice de Preços ao Consumidor Brasil - Núcleo (Core IPC-Br)	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1996	343	Núcleo de inflação que exclui itens voláteis, como alimentos e energia, proporcionando uma visão mais estável da inflação.	Consumer Price Index-Brazil core (Core IPC-Br)	BCB - Banco Central do Brasil
7451	Índice de Preços por Atacado - Mercado (IPA-M), 1ª dezena	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/11/1994	358	Reflete a variação dos preços por atacado nos primeiros 10 dias do mês, uma prévia do índice completo de inflação no atacado.	Wholesale Price Index-Market (IPA-M), 1st ten-day period	BCB - Banco Central do Brasil
7457	Índice Nacional de Custo da Construção-Mercado (INCC-M), 1ª dezena	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/11/1994	358	Reflete a variação dos custos de construção nos primeiros 10 dias do mês, uma prévia do INCC mensal.	National Index of Building Costs-Market (INCC-M), 1st ten-day period	BCB - Banco Central do Brasil
7459	Índice de Preços por Atacado - Oferta Global (IPA-OG), Produtos industriais	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1994	367	Mede a variação mensal dos preços por atacado de produtos industriais, usado para monitorar a inflação no setor industrial.	Wholesale Price Index-Global Supply (IPA-OG), Industrial products	BCB - Banco Central do Brasil
7460	Índice de Preços por Atacado - Oferta Global (IPA-OG), Produtos agrícolas	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1994	367	Mede a variação mensal dos preços por atacado de produtos agrícolas, essencial para o monitoramento da inflação no setor agrícola.	Wholesale Price Index-Global Supply (IPA-OG), Agricultural products	BCB - Banco Central do Brasil
7461	Índice Nacional de Custo da Construção-Mercado (INCC-DI), Mão de obra	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1997	331	Reflete a variação mensal dos custos com mão de obra no setor de construção.	National Index of Building Costs-Market (INCC-DI), Working force	BCB - Banco Central do Brasil
7462	Índice Nacional de Custo da Construção-Mercado (INCC-DI), Serviços e materiais	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1997	331	Reflete a variação mensal dos custos com serviços e materiais no setor de construção.	National Index of Building Costs-Market (INCC-DI), Services and materials	BCB - Banco Central do Brasil
7465	Índice de Preços ao Consumidor (IPC-Fipe), alimentos	Preços e Índices por Setor (Inflação)	9	% var. ao mês	Mensal	01/02/1997	331	Mede a variação de preços dos alimentos, um dos componentes mais importantes para medir o custo de vida e a inflação na cidade de São Paulo.	Consumer Price Index (IPC-Fipe), Food stuffs	BCB - Banco Central do Brasil
7466	Índice de Preços ao Consumidor (IPC-Fipe), bens semi-industrializados	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1997	331	Reflete a variação de preços dos produtos semi-industrializados, como alimentos processados, essenciais para monitorar o custo de vida e a inflação em São Paulo.	Consumer Price Index (IPC-Fipe), Semi industrialized goods	BCB - Banco Central do Brasil
7467	Índice de Preços ao Consumidor (IPC-Fipe), bens industrializados	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1997	331	Mede a variação de preços dos produtos industrializados, essencial para avaliar o impacto da inflação nos bens de consumo duráveis e não duráveis em São Paulo.	Consumer Price Index (IPC-Fipe), Industrialized goods	BCB - Banco Central do Brasil
7468	Índice de Preços ao Consumidor (IPC-Fipe), produtos in natura	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1997	331	Reflete a variação de preços dos produtos não industrializados, como frutas e legumes, importantes para monitorar o custo de vida e a inflação alimentar.	Consumer Price Index (IPC-Fipe), In natura	BCB - Banco Central do Brasil
7469	Índice de Preços ao Consumidor (IPC-Fipe), habitação	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1997	331	Mede a variação de preços relacionados à moradia, como aluguel e serviços públicos, compondo uma parte importante da inflação ao consumidor em São Paulo.	Consumer Price Index (IPC-Fipe), Housing	BCB - Banco Central do Brasil
7470	Índice de Preços ao Consumidor (IPC-Fipe), transporte	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1997	331	Mede a variação dos preços dos serviços de transporte, como passagens e combustíveis, essenciais no cálculo da inflação geral.	Consumer Price Index (IPC-Fipe), Transportation	BCB - Banco Central do Brasil
7471	Índice de Preços ao Consumidor (IPC-Fipe), despesas pessoais	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1997	331	Mede a variação de preços das despesas pessoais, como lazer e serviços, contribuindo para a análise da inflação no orçamento familiar.	Consumer Price Index (IPC-Fipe), Personal expenses	BCB - Banco Central do Brasil
7472	Índice de Preços ao Consumidor (IPC-Fipe), vestuário	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1997	331	Reflete a variação de preços no setor de vestuário, útil para monitorar o impacto da inflação em produtos de moda e vestimenta em São Paulo.	Consumer Price Index (IPC-Fipe), Clothing	BCB - Banco Central do Brasil
7473	Índice de Preços ao Consumidor (IPC-Fipe), saúde	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1997	331	Reflete a variação de preços dos serviços e produtos de saúde, como medicamentos e consultas médicas, essenciais para monitorar o impacto da inflação na qualidade de vida.	Consumer Price Index (IPC-Fipe), Health	BCB - Banco Central do Brasil
7475	Índice de Preços ao Consumidor (IPC-Fipe), bens comercializáveis	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/01/1997	332	Reflete a variação dos preços de bens comercializáveis internacionalmente, como produtos importados ou exportados. Importante para entender os impactos do comércio exterior na inflação.	Consumer Price Index (IPC-Fipe), Tradables	BCB - Banco Central do Brasil
7476	Índice de Preços ao Consumidor (IPC-Fipe), bens e serviços não comercializáveis	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/01/1997	332	Reflete a variação de preços de itens que não podem ser comercializados internacionalmente, como serviços locais, importantes para entender a inflação doméstica.	Consumer Price Index (IPC-Fipe), Nontradables	BCB - Banco Central do Brasil
7477	Índice de Preços ao Consumidor (IPC-Fipe), preços administrados	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/01/1997	332	Reflete a variação dos preços controlados pelo governo, como tarifas de energia e combustíveis, essenciais para entender a inflação em itens regulados.	Consumer Price Index (IPC-Fipe), Supervised prices	BCB - Banco Central do Brasil
7495	Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil (SINAPI)	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1990	415	Reflete a variação mensal dos custos da construção civil no Brasil, usado para reajustes contratuais e análise da inflação no setor de construção.	SINAPI	BCB - Banco Central do Brasil
10841	Índice Nacional de Preços ao Consumidor Amplo (IPCA), Bens não duráveis	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1992	391	Reflete a variação mensal dos preços de bens não duráveis, como alimentos e produtos de higiene.	National Consumer Price Index-Extended (IPCA), Nondurable goods	BCB - Banco Central do Brasil
10842	Índice Nacional de Preços ao Consumidor Amplo (IPCA), Bens semiduráveis	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1992	391	Reflete a variação mensal dos preços de bens semiduráveis, como roupas e acessórios.	National Consumer Price Index-Extended (IPCA), Semidurable goods	BCB - Banco Central do Brasil
10843	Índice Nacional de Preços ao Consumidor Amplo (IPCA), Bens duráveis	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1992	391	Reflete a variação mensal dos preços de bens duráveis, como eletrodomésticos e veículos.	National Consumer Price Index-Extended (IPCA), Durable goods	BCB - Banco Central do Brasil
10844	Índice de Preços ao Consumidor Amplo (IPCA), serviços	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1992	391	Mede a variação dos preços de serviços, como educação, transporte e saúde, compondo parte importante do cálculo da inflação ao consumidor.	Broad National Consumer Price Index (IPCA), Services	BCB - Banco Central do Brasil
11426	Índice de Preços ao Consumidor Amplo (IPCA) - Núcleo com média aparada	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/2001	283	Núcleo de inflação que exclui os itens de maior volatilidade do IPCA e calcula a média ponderada dos demais itens, oferecendo uma medida da inflação central, sem distorções extremas.	Broad national consumer price index, Trimmed mean Core IPCA	BCB - Banco Central do Brasil
11427	Índice de Preços ao Consumidor Amplo (IPCA) - Núcleo EX0	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1996	343	Núcleo de inflação que exclui itens com maior volatilidade, como alimentos e combustíveis, proporcionando uma visão mais estável da inflação.	Broad national consumer price index, EX0 Core IPCA	BCB - Banco Central do Brasil
11428	Índice de Preços ao Consumidor Amplo (IPCA), preços não monitorados	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1992	391	Reflete a variação de preços dos itens que não são controlados ou monitorados pelo governo, sendo determinado pelo mercado. Útil para analisar a inflação em setores livres de regulamentação governamental.	Broad national consumer price index (IPCA), non monitored prices	BCB - Banco Central do Brasil
16121	Índice de Preços ao Consumidor Amplo (IPCA) - Núcleo EX1	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/01/1991	404	Núcleo de inflação que exclui itens sazonais e voláteis do cálculo do IPCA, proporcionando uma visão mais clara da inflação subjacente.	Broad national consumer price index, EX1 Core IPCA	BCB - Banco Central do Brasil
16122	Índice de Preços ao Consumidor Amplo (IPCA) - Núcleo com dupla ponderação	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/01/1995	356	Núcleo de inflação que exclui itens mais voláteis e aplica uma dupla ponderação em itens de maior peso no cálculo do IPCA. Útil para analisar a inflação subjacente sem impactos pontuais.	Broad national consumer price index, Double Weighted Core IPCA	BCB - Banco Central do Brasil
