Nome da tabela;Variáveis disponíveis para a tabe;Classificações e subclassificações disponíveis para a t;Relevância para análises acadêmi;Relevância para análises econômi;Relevância para análise para investimen;Relevância para análises ambienta;Relevância para análises socia;Relevância para avaliações governament;Relevância para análises políti;Relevância para análises de sa�;Relevância para análises sobre educa�;Relevância para redução da desiguald;Relevância para desenvolvimento econômico nacion;Relevância globa
Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do;"['(4097, ""Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4101, ""Coeficiente de variação - Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(8789, ""Variação em relação a três trimestres móveis anteriores - Nível de ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jun-jul"")', '(8792, ""Situação da Variação em relação a três trimestres móveis anteriores - Nível de ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jun-j"")', '(8794, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Nível de ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jun-jul-"")', '(8797, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Nível de ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jun-ju"")']";[];;;;;;;;;;;;
Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho, na população de 14 anos ou mais de idade, ocupada na semana de referência - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do;"['(8463, ""Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência"")', '(8464, ""Coeficiente de variação - Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referênc"")', '(8465, ""Variação em relação a três trimestres móveis anteriores - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência (Ponto percentual) [abr-mai-jun 2012 a jun-jul"")', '(8468, ""Situação da Variação em relação a três trimestres móveis anteriores - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência (Nenhuma) [abr-mai-jun 2012 a jun-j"")', '(8469, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência (Ponto percentual) [jan-fev-mar 2013 a jun-jul-"")', '(8472, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência (Nenhuma) [jan-fev-mar 2013 a jun-ju"")']";[];;;;;;;;;;;;
Percentual de pessoas desalentadas na população na força de trabalho ou desalentada - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ;"['(9869, ""Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência"")', '(9870, ""Coeficiente de variação - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referênc"")', '(9871, ""Variação em relação a três trimestres móveis anteriores - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência (Ponto percentual) [abr-mai-jun 2012 a jun-jul"")', '(9874, ""Situação da Variação em relação a três trimestres móveis anteriores - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência (Nenhuma) [abr-mai-jun 2012 a jun-j"")', '(9875, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência (Ponto percentual) [jan-fev-mar 2013 a jun-jul-"")', '(9878, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência (Nenhuma) [jan-fev-mar 2013 a jun-ju"")']";[];;;;;;;;;;;;
Taxa combinada da desocupação e da força de trabalho potencial - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ;"['(4116, ""Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4117, ""Coeficiente de variação - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(8650, ""Variação em relação a três trimestres móveis anteriores - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jun-jul"")', '(8653, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jun-j"")', '(8654, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jun-jul-"")', '(8657, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jun-ju"")']";[];;;;;;;;;;;;
Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel d;"['(4114, ""Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(4115, ""Coeficiente de variação - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de i"")', '(8641, ""Variação em relação a três trimestres móveis anteriores - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jul-ago-set 2015, jan-fev-mar 2016 a jun-j"")', '(8644, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jul-ago-set 2015, jan-fev-mar 2016 a jun"")', '(8645, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jul-ago-set 2015, out-nov-dez 2016 a jun-ju"")', '(8648, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jul-ago-set 2015, out-nov-dez 2016 a jun-"")']";[];;;;;;;;;;;;
Taxa composta da subutilização da força de trabalho - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ;"['(4118, ""Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4119, ""Coeficiente de variação - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(8659, ""Variação em relação a três trimestres móveis anteriores - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jul-ago-set 2015, jan-fev-mar 2016 a jun-jul"")', '(8662, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jul-ago-set 2015, jan-fev-mar 2016 a jun-j"")', '(8663, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jul-ago-set 2015, out-nov-dez 2016 a jun-jul-"")', '(8666, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jul-ago-set 2015, out-nov-dez 2016 a jun-ju"")']";[];;;;;;;;;;;;
Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ;"['(4099, ""Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade "")', '(4103, ""Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idad"")', '(8811, ""Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jun-jul-"")', '(8814, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jun-ju"")', '(8816, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jun-jul-a"")', '(8819, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jun-jul"")']";[];;;;;;;;;;;;
Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do;"['(4096, ""Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4100, ""Coeficiente de variação - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(8778, ""Variação em relação a três trimestres móveis anteriores - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jun-jul"")', '(8781, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jun-j"")', '(8783, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jun-jul-"")', '(8786, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jun-ju"")']";[];;;;;;;;;;;;
Taxa de subocupação por insuficiência de horas trabalhadas - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ;"['(9819, ""Taxa de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(9820, ""Coeficiente de variação - Taxa de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(9821, ""Variação em relação a três trimestres móveis anteriores - Taxa de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jul-ago-set 2015, jan-fev-mar 2016 a jun-jul"")', '(9824, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jul-ago-set 2015, jan-fev-mar 2016 a jun-j"")', '(9825, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jul-ago-set 2015, out-nov-dez 2016 a jun-jul-"")', '(9828, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jul-ago-set 2015, out-nov-dez 2016 a jun-ju"")']";[];;;;;;;;;;;;
Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do a;"['(5934, ""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (Reai"")', '(5942, ""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal"")', '(8876, ""Variação percentual em relação a três trimestres móveis anteriores - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (%) [abr-mai-jun 2012 a jun-jul-a"")', '(8877, ""Variação absoluta em relação a três trimestres móveis anteriores - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (Reais) [abr-mai-jun 2012 a jun-jul-a"")', '(8880, ""Situação da Variação em relação a três trimestres móveis anteriores - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (Nenhuma) [abr-mai-jun 2012 a jun-jul"")', '(8881, ""Variação percentual em relação ao mesmo trimestre móvel do ano anterior -Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (%) [jan-fev-mar 2013 a jun-jul-ag"")', '(8882, ""Variação absoluta em relação ao mesmo trimestre móvel do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (Reais) [jan-fev-mar 2013 a jun-jul-ag"")', '(8885, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (Nenhuma) [jan-fev-mar 2013 a jun-jul-"")']";[];;;;;;;;;;;;
População - Total, coeficiente de variação, variações percentuais e absolutas em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do a;"['(606, ""População (Mil pessoa"")', '(6541, ""Coeficiente de variação - População"")', '(6867, ""Variação percentual em relação a três trimestres móveis anteriores - População (%) [abr-mai-jun 2012 a jun-jul-a"")', '(6868, ""Variação absoluta em relação a três trimestres móveis anteriores - População (Mil pessoas) [abr-mai-jun 2012 a jun-jul-a"")', '(6871, ""Situação da Variação em relação a três trimestres móveis anteriores - População (Nenhuma) [abr-mai-jun 2012 a jun-jul"")', '(6872, ""Variação percentual em relação ao mesmo trimestre móvel do ano anterior - População (%) [jan-fev-mar 2013 a jun-jul-ag"")', '(6873, ""Variação absoluta em relação ao mesmo trimestre móvel do ano anterior - População (Mil pessoas) [jan-fev-mar 2013 a jun-jul-ag"")', '(6876, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - População (Nenhuma) [jan-fev-mar 2013 a jun-jul-"")']";[];;;;;;;;;;;;
Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos em todos os trabalho;"['(6293, ""Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos (Milhões de Reai"")', '(6294, ""Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos "")', '(6295, ""Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos (Milhões de Reai"")', '(6296, ""Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos "")']";[];;;;;;;;;;;;
Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do an;"['(12466, ""Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência (%"")', '(12467, ""Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência "")', '(12468, ""Variação em relação a três trimestres móveis anteriores - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Ponto percentual) [jan-fev-mar 2016 a jun-jul-ag"")', '(12469, ""Situação da Variação em relação a três trimestres móveis anteriores - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Nenhuma) [jan-fev-mar 2016 a jun-jul-"")', '(12470, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Ponto percentual) [out-nov-dez 2016 a jun-jul-ago"")', '(12471, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Nenhuma) [out-nov-dez 2016 a jun-jul-a"")']";[];;;;;;;;;;;;
Indicador 3.2.2 - Taxa de mortalidade neonatal;"['(9732, ""Taxa de mortalidade neonatal (Óbitos por mil nascidos vivos"")', '(9436, ""Número de nascidos vivos de mães residentes (Pessoas) [1994 a 202"")', '(9462, ""Número de óbitos de residentes até 27 dias de vida completos (Óbitos) [1994 a 2"")']";[];;;;;;;;;;;;
Contas econômicas trimestrai;"['(933, ""Produto Interno Bruto (Milhões de Reais"")', '(934, ""(+) Salários (líquidos recebidos do exterior) (Milhões de Rea"")', '(935, ""(+) Rendas de propriedade (líquidas recebidas do exterior) (Milhões de Reai"")', '(936, ""(=) Renda nacional bruta (Milhões de Reais"")', '(937, ""(+) Outras transferências correntes (líquidas recebidas do exterior) (Milhões de Rea"")', '(938, ""(=) Renda nacional disponível bruta (Milhões de Reai"")', '(939, ""(-) Despesa de consumo final (Milhões de Reais"")', '(940, ""(=) Poupança bruta (Milhões de Reai"")', '(941, ""(-) Formação bruta de capital (Milhões de Rea"")', '(6596, ""(+) Cessão de ativos não financeiros não produzidos (aquisições líquidas) (Milhões de"")', '(942, ""(+) Transferências de capital (líquidas recebidas do exterior) (Milhões de Rea"")', '(943, ""(=) Capacidade / necessidade líquida de financiamento (Milhões de Reai"")']";[];;;;;;;;;;;;
Indicador 3.2.1 - Taxa de mortalidade em menores de 5 anos;"['(9731, ""Taxa de mortalidade em menores de 5 anos (Óbitos por mil nascidos vivos"")', '(9461, ""Número de óbitos de residentes com menos de cinco anos de idade (Óbitos) [1994 a 20"")', '(9436, ""Número de nascidos vivos de mães residentes (Pessoas) [1994 a 202"")']";[];;;;;;;;;;;;
