Código Subclassificação	Nome Subclassificação	Código Classificação
515	Intermunicipal	11983
516	Total de municípios que possuem exclusivamente sistema de drenagem superficial nas ruas pavimentadas	28
517	Até 25%	28
518	Mais de 25 a 50%	28
519	Mais de 50 a 75%	28
520	Mais de 75 a 100%	28
522	Sem declaração	28
524	Lançamento inadequado de resíduos sólidos	12137
525	Queimadas	12137
526	Mar	12130
527	Lagoas	12130
528	Dedicação exclusiva - total	11997
529	Dedicação exclusiva - na operação e/ou manutenção	11997
530	Dedicação exclusiva - na administração	11997
531	Dedicação parcial - total	11997
532	Dedicação parcial - na operação e/ou manutenção	11997
533	Dedicação parcial - na administração	11997
534	Coleta seletiva de resíduos sólidos recicláveis	2646
535	Triagem de resíduos sólidos recicláveis	2646
536	Coleta de resíduos de construção e demolição	2646
537	Coleta de resíduos sólidos especiais (de saúde e industriais)	2646
538	Pintura de guias	2646
539	Tratamento de resíduos sólidos	2646
540	Disposição de resíduos sólidos no solo	2646
541	Varrição - mecânica	12188
543	Inglaterra	26
548	Sem titulação definitiva	218
549	Total	29
550	Utiliza assistência técnica	29
551	Associado à cooperativa	29
552	Usa energia elétrica	29
553	Uso de força de tração animal	29
554	Uso de força de tração mecânica	29
555	Usa irrigação	29
556	Usa adubos e corretivos	29
557	Faz controle de pragas	29
558	Faz conservação de solo	29
560	Algodão	226
561	Fumo	226
562	100 ha e mais	220
563	Menos de 2 ha	220
564	Prédios, instalações e outras benfeitorias	12545
565	Terras (inclusive matas naturais)	12545
566	Lavouras permanentes	12545
568	Matas plantadas	12545
571	Animais (reprodução, criação e outros fins)	12545
572	Sem declaração	2
573	Sem declaração	287
574	19 anos ou mais	287
575	Não estudou	30
576	Não terminou o ensino fundamental ou 1º grau	30
577	Terminou o ensino fundamental ou 1º grau	30
578	Não terminou o ensino médio ou 2º grau	30
579	Terminou o ensino médio ou 2º grau	30
580	Não terminou a faculdade	30
581	Terminou a faculdade	30
582	Não sabe	30
583	Sem declaração	30
584	Sim	31
585	Não	31
586	Sem declaração	31
587	Sim	32
588	Não	32
589	Sem declaração	32
614	Sim	44
615	Não	44
616	Sem declaração	44
641	Não comeu	77
642	1 dia	77
643	2 dias	77
644	3 dias	77
645	4 dias	77
646	5 dias	77
647	6 dias	77
648	Todos os dias	77
649	Sem declaração	77
650	Não comeu	78
651	1 dia	78
652	2 dias	78
653	3 dias	78
654	4 dias	78
655	5 dias	78
656	6 dias	78
657	Todos os dias	78
658	Sem declaração	78
659	Não comeu	83
660	1 dia	83
661	2 dias	83
662	3 dias	83
663	4 dias	83
664	5 dias	83
665	6 dias	83
666	Todos os dias	83
667	Sem declaração	83
668	Não bebeu	87
669	1 dia	87
670	2 dias	87
671	3 dias	87
672	4 dias	87
673	5 dias	87
674	6 dias	87
675	Todos os dias	87
676	Sem declaração	87
677	Não comeu	88
678	1 dia	88
679	2 dias	88
680	3 dias	88
681	4 dias	88
682	5 dias	88
683	6 dias	88
684	Todos os dias	88
685	Sem declaração	88
686	Não comeu	89
687	1 dia	89
688	2 dias	89
689	3 dias	89
690	4 dias	89
691	5 dias	89
692	6 dias	89
693	Todos os dias	89
694	Sem declaração	89
695	Não comeu	91
696	1 dia	91
697	2 dias	91
698	3 dias	91
699	4 dias	91
700	5 dias	91
701	6 dias	91
702	Todos os dias	91
703	Sem declaração	91
704	Não comeu	92
705	1 dia	92
706	2 dias	92
707	3 dias	92
708	4 dias	92
709	5 dias	92
710	6 dias	92
711	Todos os dias	92
712	Sem declaração	92
759	Não	98
760	Sim, todos os dias	98
761	Sim, 5 a 6 dias por semana	98
762	Sim, 3 a 4 dias por semana	98
763	Sim, 1 a 2 dias por semana	98
764	Sim, mas apenas raramente	98
765	Sem declaração	98
766	Não	99
767	Sim, todos os dias	99
768	Sim, 5 a 6 dias por semana	99
769	Sim, 3 a 4 dias por semana	99
770	Sim, 1 a 2 dias por semana	99
771	Sim, mas apenas raramente	99
772	Sem declaração	99
782	Bens de consumo	9
783	Mensal	39
784	No ano	39
785	Nos últimos 12 meses	39
786	Alto	41
787	Normal	41
788	Baixo	41
789	Mínimo	41
790	Armador - salário/hora	43
791	Bombeiro hidráulico - salário/hora	43
792	Carpinteiro de esquadrias - salário/hora	43
793	Carpinteiro de formas - salário/hora	43
794	Eletricista - salário/hora	43
795	Ladrilheiro - salário/hora	43
796	Mestre-de-obras - salário/hora	43
797	Pedreiro - salário/hora	43
798	Pintor - salário/hora	43
799	Servente - salário/hora	43
800	Arame preto recozido n.18 - kg	42
801	Argamassa para revestimentos externos - saco 50 kg	42
802	Armário plástico para banheiro, de 45 x 60 cm - peça	42
803	Azulejo branco, liso, de 1ª. qualidade, de 15 x 15 cm - m²	42
804	Banca de mármore branco para cozinha com 1,20 x 0,60 x 0,03 m - peça	42
805	Banca de marmorite para cozinha, com 1,20 x 0,60 x 0,03 m - peça	42
806	Blocos de concreto vazados, 10 x 20 x 40 cm - milheiro	42
807	Caixa d'água retangular de fibrocimento, 1000 l - peça	42
808	Cal hidratada de 1ª. qualidade - kg	42
809	Carpete extra, com 6 mm de espessura - m²	42
811	Cerâmica vermelha de 1ª. qualidade, de 7,5 x 15 cm - m²	42
812	Telha ondulada de fibrocimento, com 6mm, 1,10 x 1,83 m - chapa	42
813	Chuveiro elétrico em metal cromado - peça	42
814	Cimento Portland comum - saco	42
815	Conjunto de moto-bomba, 110/220 v de 3/4 hp - peça	42
816	Cuba de aço inoxidável n.1 - peça	42
817	Cuba de ferro fundido, esmaltada, n.1 - peça	42
818	Disjuntor até 30 ampéres (quick-lag) - peça	42
819	Dobradiça de ferro galvanizado, de 3 x 2 1/2 - peça	42
820	Fechadura de embutir, cromada, para porta externa - conjunto	42
821	Fio de cobre de 1,5 mm2, com capeamento - rolo de 100m	42
822	Gesso em (pó) - kg	42
823	Interruptor com uma tecla, de embutir, de 4 x 2 - conjunto	42
824	Laje pré-fabricada para piso - m²	42
825	Piso vinílico, com 2 mm, placas de 30 x 30 cm - m²	42
826	Prego de ferro 17 x 27 - kg	42
827	Registro de gaveta de 3/4, com volante pintado - peça	42
828	Soleira de mármore branco - m²	42
829	Tinta a óleo para interiores - galão	42
830	Tinta plástica pva, interior-exterior - galão	42
831	Torneira cromada para lavatório, de 1/2 - peça	42
832	Tubo eletroduto de ferro, de 1/2 e 3 m de comprimento - vara	42
833	Tubo eletroduto pvc rígido, de 1/2 e 3 m de comprimento - vara	42
834	Tubo de ferro fundido para esgoto, de 4 e 3 m de comprimento - vara	42
835	Tubo de ferro galvanizado para água, 1 e 6 m - vara	42
836	Tubo leve de fibrocimento, de 3 e 3 m de comprimento - vara	42
837	Tubo de pvc para água, rosqueável, de 3/4 e 6 m - vara	42
838	Vaso sanitário de louça branca, autosifonado - peça	42
839	Tinta plástica PVA, interior-exterior - galão	42
840	Barra de aço (vergalhão) c.a. 50 de 5/8 - kg	42
841	Aduela (batente) de madeira de 1ª qualidade, de 13 x 3 cm - jogo	42
842	Chapa de compensado para formas, com 1 cm, de 1,10 x 2,20 m - chapa	42
843	Chapa de laminado, acabamento liso, com 1 mm, de 1,25 x 3.08 m - chapa	42
844	Folha de porta interna (pranc) de 0,70 x 2,10 x 0,03 m - peça	42
845	R.1-2Q....46 Casa com um pavimento: varanda, sala, 2 quartos, circulação, banheiro, cozinha	40
846	Janela de madeira de 1ª. qualidade, de correr com 1,20 x 1,20 m - peça	42
847	R.1-2Q....40 Casa com um pavimento: sala, 2 quartos, circulação, banheiro e cozinha.	40
848	Peças de madeira de 1ª. qualidade, para telhado, de 6,0 x 12,0 cm - metro	42
849	Peças de madeira de 1ª. qualidade, para telhado, de 5,0 x 7,5 cm - m	42
850	Pernas (pontaletes) de madeira, 3a. qualidade, de 7,5 x 7,5 cm - metro	42
851	R.1-2Q....62 Casa com um pavimento: varanda, sala, dois quartos, circulação, banheiro, cozinha, área de serviço, quarto e wc de empregada.	40
852	Tábua de madeira de 3a. qualidade, para formas, de 2,5 x 30,0 cm - m	42
853	Tacos de madeira de 1ª. qualidade, de 7 x 21 cm - m²	42
854	Telha de barro, tipo canal - milheiro	42
855	Telha de barro, tipo francesa - milheiro	42
856	R.1-3Q...104 Casa com um pavimento: varanda, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e wc de empregada.	40
857	Tijolo furado, de barro, de 10 x 20 x 20 cm - milheiro	42
858	Tijolo maciço, de barro, de 5,5 x 10,5 x 22,0 cm - milheiro	42
859	Tubo (manilha) de barro vidrado, de 4 e 60 cm - peça	42
860	Areia fina - m ³	42
861	Areia grossa - m³	42
862	R.1-4Q...122 Casa com um pavimento: varanda, sala, 4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e wc de empregada.	40
863	Escavação mecânica para fundações de (serviços) - m³	42
864	Janela basculante de alumínio, de 0,60 x 1,00 m - peça	42
865	Janela basculante de ferro, de 0,60 x 1,00 m - peça	42
866	R.1-1Q....30 Casa geminada com um pavimento:sala, circulação, cozinha e banheiro.	40
867	Pedra britada n° 2 - m³	42
868	Saibro ou similar - m³	42
869	Vidro liso, com 3 mm, cortado e colocado - m²	42
870	Azulejo decorado, extra, de 15 x 15 cm - m²	42
871	Cimento branco - kg	42
872	R.2-3Q....56 Casa geminada com 2 pavimentos. Primeiro pavimento: sala, 1 quarto e cozinha. Segundo pavimento: 2 quartos, circulação e banheiro.	40
873	Fechadura de embutir, cromada, para porta interna - conjunto	42
874	Rabicho cromado para lavatório e bidê - peça	42
875	R.2-2Q....81 Casa geminada com 2 pavimentos e edícula. Primeiro pavimento: sala e cozinha. Segundo pavimento: 2 quartos, circulação e banheiro.	40
876	Registro de pressão de 3/4, com canopla lisa - peça	42
877	Sifão cromado para lavatório, saída de 1 1/4 - peça	42
878	Peitoril de mármore branco - m²	42
879	Massa corrida, base óleo, para madeira - galão	42
880	Selador, base acrílica, para paredes - l	42
881	Massa corrida, base látex, para paredes - galão	42
882	Aparelho misturador cromado para lavatório - peça	42
883	Aparelho misturador cromado para pia de cozinha - peça	42
884	Chuveiro cromado - peça	42
885	Válvula de descarga de botão, cromada, de 1 1/4 - peça	42
886	Joelho de PVC, 90 graus, soldável, com 4 - peça	42
887	Tubo de pvc para esgoto, soldável, de 4 - m	42
888	Lavatório de louça branca - peça	42
889	Alisar (moldura) de madeira de 1ª qualidade, de 5 x 2 cm - m	42
890	Rodapé em madeira de 1ª. qualidade, de 5,0 x 2,5 cm - metro	42
891	R.5-2QT.2125 Edifício residencial multifamiliar com andar térreo, sem elevador. Pavimentos: 5 pavimentos tipo (com 8 unidades cada, em duas prumadas de escada) e telhado.	40
892	Peças de madeira de 1ª. qualidade, para telhado, de 7,5 x 15,0 cm - m	42
893	Peças de madeira de 1ª. qualidade, para telhado, de 7,5 x 7,5 cm - m	42
894	Sarrafo de madeira de 3ª. qualidade, para formas, de 2,5 x 10,0 cm - m	42
895	R.4-2QT.1433 Edifício residencial multifamiliar com andar térreo, com elevador. Pavimentos: térreo (com 4 unidades),quatro pavimentos tipo (com 4 unidades cada) e cobertura (com apartamento de porteiro).	40
896	R.4-3QT.2264 Edifício residencial multifamiliar com com andar térreo, com elevador. Pavimentos: térreo (com 4 unidades), quatro pavimentos tipo (com 4 unidades cada), e cobertura (com apartamento de porteiro).	40
897	R.4-3QP.2520 Edifício residencial com pilotis e elevador.	40
898	R.6-3QP.7181 Edifício residencial multifamiliar com pilotis e elevador.	40
899	R.8-2QP.2620 Edifício residencial multifamiliar com pilotis e elevador.	40
900	R.8-3QP.4266 Edifício residencial multifamiliar com pilotis e elevador.	40
901	R.8-3QP.3176 Edifício residencial multifamiliar com pilotis e elevador.	40
902	R12-2QP.3597 Edifício residencial multifamiliar com pilotis e elevador.	40
903	R12-3QP.6013 Edifício residencial multifamiliar com pilotis e elevador.	40
904	R12-4QP.4050 Edifício residencial multifamiliar com pilotis e elevador.	40
905	R18-4QP.5870 Edifício residencial multifamiliar com pilotis e elevador.	40
906	C12-LA Edifício comercial com salas autônomas e lojas.	40
907	C18-LA Edifício comercial com salas autônomas e lojas.	40
908	C12-LC Edifício comercial com andar corrido e lojas.	40
909	C18-LC Edifício comercial com andar corrido e lojas.	40
910	R.4-2QP.1643 Edifício residencial multifamiliar com pilotis e elevador.	40
915	Nenhum	101
916	1 ou 2 dias	101
917	3 a 5 dias	101
918	6 a 9 dias	101
919	10 dias ou mais	101
920	Sem declaração	101
978	Total - leite pasteurizado	51
979	Vendido ao público	51
980	Industrializado na empresa	51
981	Total - destino do leite resfriado ou não	50
982	Vendido à outra empresa	50
983	Vendido ao público	50
992	Total	18
993	Total	19
994	Total	20
995	Total	22
1020	Diretamente do produtor	17
1023	Alfabetizadas	59
1024	Não alfabetizadas	59
1025	Casa isolada ou de condomínio	60
1026	Casa em conjunto residencial popular	60
1027	Casa em aglomerado subnormal	60
1028	Apartamento isolado ou de condomínio	60
1029	Apartamento em conjunto residencial popular	60
1030	Apartamento em aglomerado subnormal	60
1031	Cômodo(s)	60
1032	Com canalização interna - com poço ou nascente	61
1033	Com canalização interna - com rede geral	61
1034	Com canalização interna - com outra forma	61
1035	Sem canalização interna - com rede geral	61
1036	Sem canalização interna - com poço ou nascente	61
1037	Sem canalização interna - com outra forma	61
1053	Próprio a construção e o terreno	63
1054	Próprio só a construção	63
1055	Alugado	63
1056	Cedido por empregador	63
1057	Cedido por particular	63
1058	Outra condição	63
1059	1 cômodo	65
1060	2 cômodos	65
1061	3 cômodos	65
1062	4 cômodos	65
1063	5 cômodos	65
1064	6 cômodos	65
1065	7 cômodos	65
1066	8 cômodos	65
1067	9 cômodos	65
1070	1 dormitório	64
1071	2 dormitórios	64
1072	3 dormitórios	64
1073	4 dormitórios	64
1074	5 dormitórios	64
1075	6 dormitórios	64
1076	7 dormitórios	64
1077	8 dormitórios	64
1078	9 dormitórios ou mais	64
1079	1 banheiro	66
1080	2 banheiros	66
1081	3 banheiros	66
1082	4 banheiros	66
1083	5 banheiros ou mais	66
1084	Não tinham	66
1085	Coletado diretamente	67
1086	Coletado indiretamente	67
1087	Queimado (na propriedade)	67
1088	Enterrado (na propriedade)	67
1089	Jogado em terreno baldio ou logradouro	67
1090	Jogado em rio, lago ou mar	67
1091	Outro destino	67
1092	1 morador	68
1093	2 moradores	68
1094	3 moradores	68
1095	4 moradores	68
1096	5 moradores	68
1097	6 moradores	68
1098	7 moradores	68
1099	8 moradores	68
1100	9 moradores	68
1101	10 moradores	68
1102	11 moradores	68
1103	12 moradores	68
1104	13 moradores	68
1105	14 moradores	68
1106	15 moradores ou mais	68
1107	Até 1/4	69
1108	Mais de 1/4 a 1/2	69
1109	Mais de 1/2 a 3/4	69
1110	Mais de 3/4 a 1	69
1111	Mais de 1 a 1 1/4	69
1112	Mais de 1 1/4 a 1 1/2	69
1113	Mais de 1 1/2 a 2	69
1114	Mais de 2 a 3	69
1115	Mais de 3 a 5	69
1116	Mais de 5 a 10	69
1117	Mais de 10 a 15	69
1118	Mais de 15 a 20	69
1119	Mais de 20	69
1120	Sem rendimento	69
1121	Sem declaração	69
1122	Sem instrução e menos de 1 ano de estudo, exclusive Curso de alfabetização de adultos	71
1123	1 a 3 anos	71
1124	2 anos	71
1125	3 anos	71
1126	4 a 7 anos	71
1127	5 anos	71
1128	6 anos	71
1129	7 anos	71
1130	8 a 10 anos	71
1131	9 anos	71
1132	10 anos	71
1133	11 a 14 anos	71
1134	12 anos	71
1135	13 anos	71
1136	14 anos	71
1137	15 anos ou mais	71
1138	16 anos	71
1139	17 anos ou mais	71
1140	0 a 4 anos	58
1141	5 a 9 anos	58
1142	10 a 14 anos	58
1143	15 a 19 anos	58
1144	20 a 24 anos	58
1145	25 a 29 anos	58
1146	30 a 34 anos	58
1147	35 a 39 anos	58
1148	40 a 44 anos	58
1149	45 a 49 anos	58
1150	50 a 54 anos	58
1151	55 a 59 anos	58
1152	60 a 64 anos	58
1153	65 a 69 anos	58
1154	70 a 74 anos	58
1155	75 a 79 anos	58
1218	Sim	115
1219	Não	115
1220	Sem declaração	115
1221	Nunca experimentou	117
1222	9 anos ou menos	117
1223	10 anos	117
1224	11 anos	117
1225	12 anos	117
1226	13 anos	117
1227	14 anos	117
1228	15 anos	117
1229	16 anos	117
1230	17 anos ou mais	117
1231	Sem declaração	117
1232	Nunca fumou	118
1233	Nenhum dia	118
1234	1 ou 2 dias	118
1235	3 a 5 dias	118
1236	6 a 9 dias	118
1237	10 a 19 dias	118
1238	20 a 29 dias	118
1239	Todos os 30 dias	118
1240	Sem declaração	118
1246	Nenhum dia	120
1247	1 ou 2 dias	120
1248	3 ou 4 dias	120
1249	5 ou 6 dias	120
1250	Todos os dias	120
1251	Sem declaração	120
1252	Nenhum deles	121
1253	Pai e mãe ou responsáveis	121
1254	Só o pai ou responsável do sexo masculino	121
1255	Só o mãe ou responsável do sexo feminino	121
1256	Não sabe	121
1257	Sem declaração	121
1258	Sim	122
1259	Não	122
1260	Não sabe	122
1261	Sem declaração	122
1262	Iria se importar muito	123
1263	Iria se importar um pouco	123
1264	Não iria se importar	123
1265	Não sabe se ela iria se importar	123
1266	Sem declaração	123
1267	Sim	124
1268	Não	124
1269	Sem declaração	124
1270	Nunca experimentou	128
1271	9 anos ou menos	128
1272	10 anos	128
1273	11 anos	128
1274	12 anos	128
1275	13 anos	128
1276	14 anos	128
1277	15 anos	128
1278	16 anos	128
1279	17 anos ou mais	128
1280	Sem declaração	128
1281	Não tomou	130
1290	Menos de 1 copo ou 1 dose	130
1291	10 a 14 anos	70
1292	15 a 19 anos	70
1293	20 a 24 anos	70
1294	25 a 29 anos	70
1295	30 a 34 anos	70
1296	35 a 39 anos	70
1297	40 a 44 anos	70
1298	45 a 49 anos	70
1299	50 a 54 anos	70
1300	55 a 59 anos	70
1301	60 a 64 anos	70
1302	65 a 69 anos	70
1303	70 a 74 anos	70
1304	75 a 79 anos	70
1305	80 anos ou mais	70
1306	1 copo ou 1 dose	130
1307	2 copos ou 2 doses	130
1308	3 copos ou 3 doses	130
1309	4 copos ou 4 doses	130
1310	5 copos ou mais ou 5 doses ou mais	130
1311	Sem declaração	130
1312	Nenhuma vez	131
1313	1.Alimentação e bebidas	72
1314	1.Alimentação e bebidas	73
1315	2101.Habitação	72
1316	2.Habitação	73
1317	3.Artigos de residência	72
1318	1 ou 2 vezes	131
1319	4.Vestuário	72
1320	4.Vestuário	73
1321	5.Transporte e comunicação	72
1322	3 ou 5 vezes	131
1323	6.Saúde e cuidados pessoais	72
1324	6.Saúde, cuidados pessoais	73
1325	7.Despesas pessoais	72
1326	6 ou 9 vezes	131
1327	11.Alimentação no domicílio	72
1328	11.Alimentação no domicílio	73
1329	1201.Alimentação fora do domicílio	72
1330	1201.Alimentação fora domicílio	73
1331	21.Encargos e manutenção	72
1332	21.Encargos e manutenção	73
1333	22.Combustíveis, energia	72
1334	22.Combustíveis, energia	73
1335	31.Móveis e utensílios	72
1336	23.Móveis e utensílios	73
1337	32.Aparelhos elétricos e não-elétricos	72
1338	24.Aparelhos elétricos	73
1339	41.Roupas	72
1340	41.Roupas	73
1341	4201.Calçados e acessórios	72
1342	10 vezes ou mais	131
1343	4301.Joias, relógio de pulso	72
1344	43.Joias, relógio de pulso	73
1345	4401.Tecidos e armarinho	72
1346	44.Tecidos e armarinho	73
1347	51.Transporte	72
1348	5.Transporte	73
1349	5201.Comunicações	72
1350	92.Comunicações	73
1351	61.Produtos farmacêuticos, óculos e lentes	72
1352	61.Produtos farmacêuticos, óculos e lentes	73
1353	62.Atendimento e serviços	72
1354	62.Atendimento e serviços	73
1355	63.Cuidados pessoais	72
1356	83.Cuidados pessoais	73
1357	71.Serviços	72
1358	91.Serviços	73
1359	72.Recreação e fumo	72
1360	Sem declaração	131
1361	Sem renda	141
1362	3.Educação	73
1363	1101.Cereais, leguminosas e oleaginosas	72
1364	1101.Cereais, leguminosas e oleaginosas	73
1365	1102.Farinha, féculas e massas	72
1366	1102.Farinha, féculas, massas	73
1367	1103.Tubérculos, raízes e legumes	72
1368	1103.Tubérculos, raízes e legumes	73
1369	1104.Açúcares e derivados	72
1370	1104.Açúcares e derivados	73
1371	1105.Hortaliças e verduras	72
1372	1105.Hortaliças e verduras	73
1373	1106.Frutas	72
1374	1106.Frutas	73
1375	1107.Carnes frescas e vísceras	72
1376	1107.Carnes frescas e vísceras	73
1377	1108.Pescado	72
1378	1108.Pescado	73
1379	1109.Carnes e peixes industrializados	72
1380	1109.Carnes, peixes industrializados	73
1381	1110.Aves e ovos	72
1382	1110.Aves e ovos	73
1383	1111.Leite e derivados	72
1384	1111.Leite e derivados	73
1385	1112.Panificados	72
1386	1112.Panificados	73
1387	1113.Óleos e gorduras	72
1388	1113.Óleos e gorduras	73
1389	1114.Bebidas e infusões	72
1390	1114.Bebidas e infusões	73
1391	1115.Enlatados e conservas	72
1392	1115.Enlatados e conservas	73
1393	1116.Sal e condimentos	72
1394	1116.Sal e condimentos	73
1395	12.Alimentação fora do domicílio	72
1396	12.Alimentação fora domicílio	73
1397	2.Habitação	72
1398	2101.Habitação	73
1399	2103.Reparos	72
1400	2103.Reparos	73
1401	2104.Artigos de limpeza	72
1402	2104.Artigos de limpeza	73
1403	2201.Combustível de uso doméstico	72
1404	2201.Combustíveis para uso doméstico	73
1405	2202003.Energia elétrica	72
1406	2202.Energia elétrica	73
1407	3101.Mobiliário	72
1408	2301.Mobiliário	73
1409	3102.Utensílios e enfeites	72
1410	2302.Utensílios e enfeites	73
1411	3103.Cama, mesa e banho	72
1412	2303.Cama, mesa e banho	73
1413	3201.Eletrodomésticos e equipamentos	72
1414	2401.Eletrodomésticos e equipamentos	73
1415	3202.TV e som	72
1416	2402.Tv e som	73
1417	4101.Roupa de homem	72
1418	4101.Roupa de homem	73
1419	4102.Roupa de mulher	72
1420	4102.Roupa de mulher	73
1421	4103.Roupa de criança	72
1422	4103.Roupa de criança	73
1423	42.Calçados e acessórios	72
1424	Menos de R$ 10.500	141
1425	43.Joias, relógio de pulso	72
1426	4301.Joias, relógio de pulso	73
1427	44.Tecidos e armarinho	72
1428	4401.Tecidos e armarinho	73
1429	5101.Transporte público	72
1430	5101.Transporte público	73
1431	5102.Veículo próprio	72
1432	5102.Veículo próprio	73
1433	5104.Combustíveis	72
1434	5104.Combustíveis	73
1435	52.Comunicações	72
1436	9201.Comunicações	73
1437	6101.Produtos farmacêuticos	72
1438	6101.Produtos farmacêuticos	73
1439	6102001.Óculos e lentes	72
1440	6102.Óculos e lentes	73
1441	6201.Atendimento	72
1442	6201.Atendimento	73
1443	6202.Serviços médicos	72
1444	6202.Serviços médicos	73
1445	6301.Higiene pessoal	72
1446	8301.Higiene pessoal	73
1447	7101.Serviços pessoais	72
1448	9101.Serviços pessoais	73
1449	7201.Recreação	72
1450	72.Recreação	73
1451	7202.Fumo	72
1452	93.Fumo	73
1453	7301.Educação	72
1454	3301.Educação	73
1455	7302.Leitura	72
1456	73.Leitura	73
1457	1101002.Arroz	72
1458	1101002.Arroz	73
1459	Mais de R$ 10.500 a R$ 28.000	141
1460	Mais de R$ 28.000 a R$ 52.500	141
1461	Mais de R$ 52.500 a R$ 96.250	141
1462	Mais de R$ 96250	141
1463	1101051.Feijão - mulatinho	72
1464	1101051.Feijão - mulatinho	73
1465	1101052.Feijão - preto	72
1466	1101052.Feijão - preto	73
1467	1101053.Feijão - macassar	72
1468	1101053.Feijão - macassar	73
1469	1 empregado	142
1470	2 empregados	142
1471	1101064.Feijão - jalo (enxofrão)	72
1472	1101064.Feijão - jalo (enxofrão)	73
1473	1101068.Feijão - roxo	72
1474	1101068.Feijão - roxo	73
1475	Mais de 2 empregados	142
1476	Iria se importar muito	145
1477	Iria se importar um pouco	145
1478	Não iria se importar	145
1479	1101073.Feijão - rajado	72
1480	1101073.Feijão - rajado	73
