Código Variável	Nome Variável
49	Custo médio m² - número-índice (Número-índice) - casas decimais:  padrão = 2, máximo = 2
50	Custo médio m² em variação percentual (%) - casas decimais:  padrão = 2, máximo = 2
51	Custo de projeto m² (Cruzeiros [janeiro 1990 a julho 1993], Cruzeiros Reais [agosto 1993 a junho 1994], Reais [julho 1994 a dezembro 1998]) - casas decimais:  padrão = 2, máximo = 2
52	Preços medianos (Cruzados Novos [janeiro 1990 a março 1990], Cruzeiros [abril 1990 a julho 1993], Cruzeiros Reais [agosto 1993 a junho 1994], Reais [julho 1994 a dezembro 2002]) - casas decimais:  padrão = 2, máximo = 2
53	Salários medianos (Cruzados Novos [janeiro 1990 a março 1990], Cruzeiros Reais [abril 1990 a dezembro 1992, agosto 1993 a junho 1994], Cruzeiros [janeiro 1993 a julho 1993], Reais [julho 1994 a setembro 2013]) - casas decimais:  padrão = 2, máximo = 2
54	Número de estabelecimentos agropecuários com caprinos (Unidades) - casas decimais:  padrão = 0, máximo = 0
55	Número de estabelecimentos agropecuários com coelhos (Unidades) - casas decimais:  padrão = 0, máximo = 0
56	Número de estabelecimentos agropecuários com ovinos (Unidades) - casas decimais:  padrão = 0, máximo = 0
57	Número de estabelecimentos agropecuários com tratamento de esterco de animais (Unidades) - casas decimais:  padrão = 0, máximo = 0
58	Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade (Reais) - casas decimais:  padrão = 2, máximo = 2
59	Leite cru ou resfriado recebido pela indústria (Mil litros) - casas decimais:  padrão = 0, máximo = 0
60	Leite recebido em pó (Toneladas) - casas decimais:  padrão = 0, máximo = 0
61	Leite recebido concentrado (Mil litros) - casas decimais:  padrão = 0, máximo = 0
63	IPCA - Variação mensal (%) - casas decimais:  padrão = 2, máximo = 2
64	IRSM - Percentual no mês (%) - casas decimais:  padrão = 2, máximo = 2
65	IRSM - Peso no mês (%) - casas decimais:  padrão = 4, máximo = 4
66	IPCA - Peso mensal (%) - casas decimais:  padrão = 4, máximo = 4
68	INPC - Variação acumulada no ano (%) - casas decimais:  padrão = 2, máximo = 2
69	IPCA - Variação acumulada no ano (%) - casas decimais:  padrão = 2, máximo = 2
70	Emigrantes internacionais (Pessoas) - casas decimais:  padrão = 0, máximo = 0
71	Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade (Reais) - casas decimais:  padrão = 2, máximo = 2
72	Pessoal ocupado na agricultura familiar (Pessoas) - casas decimais:  padrão = 0, máximo = 0
73	Pessoal ocupado na agricultura não familiar (Pessoas) - casas decimais:  padrão = 0, máximo = 0
74	IPCAE - Percentual no mês (%) - casas decimais:  padrão = 2, máximo = 2
75	IPCAE - Percentual acumulado no ano (%) [janeiro 1992 a maio 1992, outubro 1992 a dezembro 2010] - casas decimais:  padrão = 2, máximo = 2
76	IPCAE - Peso no mês (%) - casas decimais:  padrão = 4, máximo = 4
77	INPCE - Peso no mês (% [janeiro 1992 a novembro 1993, janeiro 1994 a junho 1994], Número-índice [dezembro 1993]) - casas decimais:  padrão = 4, máximo = 4
78	Municípios que possuem exclusivamente sistema de drenagem superficial nas ruas pavimentadas (Unidades) - casas decimais:  padrão = 0, máximo = 0
79	INPCE - Percentual no mês (%) - casas decimais:  padrão = 2, máximo = 2
80	Pessoal ocupado permanente no serviço de manejo de águas pluviais (Pessoas) - casas decimais:  padrão = 0, máximo = 0
81	Pessoal ocupado contratado, terceirizado ou somente comissionado no serviço de manejo de águas pluviais (Pessoas) - casas decimais:  padrão = 0, máximo = 0
82	Quantidade coletada de resíduos sólidos de serviços de saúde sépticos (Toneladas por dia) - casas decimais:  padrão = 1, máximo = 1
83	Número de estabelecimentos agropecuários com agricultura familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
84	Número de estabelecimentos agropecuários com agricultura não familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
85	Área dos estabelecimentos agropecuários com agricultura familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
86	Área dos estabelecimentos agropecuários com agricultura não familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
87	Valor total da produção dos estabelecimentos agropecuários com agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
88	Valor total da produção dos estabelecimentos agropecuários com agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
89	Renda total dos estabelecimentos agropecuários com agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
90	Renda total dos estabelecimentos agropecuários com agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
91	Outras receitas do produtor com agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
92	Outras receitas do produtor com agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
93	População residente (Pessoas) - casas decimais:  padrão = 0, máximo = 0
94	Valor do rendimento médio da pessoa responsável pelo domicílio (Cruzeiros) - casas decimais:  padrão = 2, máximo = 2
95	Índice de Gini da renda das pessoas responsáveis pelos domicílios (Índice) - casas decimais:  padrão = 4, máximo = 4
96	Domicílios particulares permanentes (Unidades) - casas decimais:  padrão = 0, máximo = 0
99	Número médio de cômodos por domicílio (Cômodos) - casas decimais:  padrão = 2, máximo = 2
100	Número médio de cômodos servindo de dormitório por domicílio (Unidades) - casas decimais:  padrão = 2, máximo = 2
101	Número de municípios com conselho de meio ambiente (Unidades) - casas decimais:  padrão = 0, máximo = 0
102	Renda monetária bruta dos estabelecimentos agropecuários com agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
103	IPCR - Percentual no mês (%) - casas decimais:  padrão = 2, máximo = 2
104	IPCR - Peso no mês (%) - casas decimais:  padrão = 4, máximo = 4
105	Efetivo dos rebanhos (Cabeças) - casas decimais:  padrão = 0, máximo = 0
106	Produção de origem animal (unidade de medida: vide classificação 'Tipo de produto de origem animal') - casas decimais:  padrão = 0, máximo = 0
107	Vacas ordenhadas (Cabeças) - casas decimais:  padrão = 0, máximo = 0
108	Ovinos tosquiados nos estabelecimentos agropecuários (Cabeças) - casas decimais:  padrão = 0, máximo = 0
109	Área plantada (Hectares) - casas decimais:  padrão = 0, máximo = 0
110	Renda monetária bruta dos estabelecimentos agropecuários com agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
111	Despesa dos estabelecimentos agropecuários com agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
112	Rendimento médio da produção (Quilogramas por Hectare) - casas decimais:  padrão = 0, máximo = 0
113	Despesa dos estabelecimentos agropecuários com agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
114	Faturamento real do comércio varejista (unidade de medida: vide classificação 'Tipos de índice') - casas decimais:  padrão = 2, máximo = 2
115	Proporção de municípios com conselho de meio ambiente (%) - casas decimais:  padrão = 1, máximo = 1
116	Emprego assalariado do comércio varejista (unidade de medida: vide classificação 'Tipos de índice') - casas decimais:  padrão = 2, máximo = 2
117	Salários e outras remunerações real do comércio varejista (unidade de medida: vide classificação 'Tipos de índice') - casas decimais:  padrão = 2, máximo = 2
118	Número de agências de publicidade com 10 ou mais pessoas ocupadas, que informaram pelo menos um segmento de atuação de seus clientes (Unidades) - casas decimais:  padrão = 0, máximo = 0
119	Financiamento dos estabelecimentos agropecuários com agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
120	Financiamento dos estabelecimentos agropecuários com agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
121	Pessoas de 5 anos ou mais (Mil pessoas) - casas decimais:  padrão = 0, máximo = 3
122	Pessoal ocupado com laço familiar na agricultura familiar (Pessoas) - casas decimais:  padrão = 0, máximo = 0
123	Pessoal ocupado com laço familiar na agricultura não familiar (Pessoas) - casas decimais:  padrão = 0, máximo = 0
124	Pessoal ocupado sem laço familiar na agricultura familiar (Pessoas) - casas decimais:  padrão = 0, máximo = 0
125	Pessoal ocupado sem laço familiar na agricultura não familiar (Pessoas) - casas decimais:  padrão = 0, máximo = 0
126	Valor da receita bruta de serviços das agências de publicidade com 10 ou mais pessoas ocupadas, que informaram pelo menos um segmento de atuação de seus clientes (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
128	Número de estabelecimentos agropecuários com pecuária de corte na agricultura familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
129	Número de estabelecimentos agropecuários com pecuária de corte na agricultura não familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
130	Número de estabelecimentos agropecuários com pecuária de leite na agricultura familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
131	Número de estabelecimentos agropecuários com pecuária de leite na agricultura não familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
132	Número de estabelecimentos agropecuários com suínos na agricultura familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
133	Número de estabelecimentos agropecuários com suínos na agricultura não familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
134	Pessoas residentes em domicílios particulares (Pessoas) - casas decimais:  padrão = 0, máximo = 0
135	Número de estabelecimentos agropecuários com aves na agricultura familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
136	Número de estabelecimentos agropecuários com aves na agricultura não familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
137	Moradores em domicílios particulares permanentes (Pessoas) - casas decimais:  padrão = 0, máximo = 0
138	Pessoas de 5 anos ou mais de idade (Pessoas) - casas decimais:  padrão = 0, máximo = 0
139	Estudantes de 5 anos ou mais de idade (Pessoas) - casas decimais:  padrão = 0, máximo = 0
140	Pessoas de 10 anos ou mais de idade (Pessoas) - casas decimais:  padrão = 0, máximo = 8
141	Pessoas de 10 anos ou mais de idade, com pelo menos um curso completo (Pessoas) - casas decimais:  padrão = 0, máximo = 0
142	Quantidade produzida na silvicultura (unidade de medida: vide classificação 'Tipo de produto da silvicultura') - casas decimais:  padrão = 0, máximo = 0
143	Valor da produção na silvicultura (Mil Cruzados [1986 a 1988], Mil Cruzados Novos [1989], Mil Cruzeiros [1990 a 1992], Mil Cruzeiros Reais [1993], Mil Reais [1994 a 2023]) - casas decimais:  padrão = 0, máximo = 0
144	Quantidade produzida na extração vegetal (unidade de medida: vide classificação 'Tipo de produto extrativo') - casas decimais:  padrão = 0, máximo = 0
145	Valor da produção na extração vegetal (Mil Cruzados [1986 a 1988], Mil Cruzados Novos [1989], Mil Cruzeiros [1990 a 1992], Mil Cruzeiros Reais [1993], Mil Reais [1994 a 2023]) - casas decimais:  padrão = 0, máximo = 0
146	Número de estabelecimentos agropecuários que produziram ovos na agricultura familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
147	Número de estabelecimentos agropecuários que produziram ovos na agricultura não familiar (Unidades) - casas decimais:  padrão = 0, máximo = 0
148	Área dos estabelecimentos agropecuários com pecuária de corte na agricultura familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
149	Pessoas residentes em domicílios particulares permanentes (Pessoas) - casas decimais:  padrão = 0, máximo = 0
150	Quantidade estocada (Toneladas) - casas decimais:  padrão = 0, máximo = 0
151	Número de informantes (Unidades) - casas decimais:  padrão = 0, máximo = 0
152	Número de estabelecimentos (Unidades) - casas decimais:  padrão = 0, máximo = 0
153	Capacidade útil (Toneladas) - casas decimais:  padrão = 0, máximo = 0
154	Área dos estabelecimentos agropecuários com pecuária de corte na agricultura não familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
155	Famílias residentes em domicílios particulares (Unidades) - casas decimais:  padrão = 0, máximo = 8
156	Número médio de pessoas por família residente em domicílio particular (Pessoas) - casas decimais:  padrão = 2, máximo = 8
157	População residente de 5 anos ou mais de idade (Pessoas) - casas decimais:  padrão = 0, máximo = 0
159	Chefes de família de 10 anos ou mais, com cônjuge, residentes em domicílios particulares (Pessoas) - casas decimais:  padrão = 0, máximo = 0
160	Valor médio do rendimento nominal mensal dos domicílios particulares permanentes (Cruzeiros) - casas decimais:  padrão = 2, máximo = 2
161	Valor médio do rendimento nominal mensal das famílias residentes em domicílios particulares (Cruzeiros) - casas decimais:  padrão = 2, máximo = 2
162	Domicílios (Unidades) - casas decimais:  padrão = 0, máximo = 0
163	Estudantes de 5 anos ou mais (Mil pessoas) - casas decimais:  padrão = 0, máximo = 3
164	Pessoas moradoras (Pessoas) - casas decimais:  padrão = 0, máximo = 0
165	Pessoas moradoras com 15 anos ou mais de idade (Habitantes) - casas decimais:  padrão = 0, máximo = 0
166	Pessoas moradoras com 10 anos ou mais de idade (Habitantes) - casas decimais:  padrão = 0, máximo = 0
167	Número de cabeças de bovinos nos estabelecimentos agropecuários com pecuária de corte na agricultura familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
168	Famílias (Unidades) - casas decimais:  padrão = 0, máximo = 0
169	Famílias que possuem bens duráveis (Unidades) - casas decimais:  padrão = 0, máximo = 0
170	Tamanho médio das famílias (Pessoas) - casas decimais:  padrão = 2, máximo = 2
171	Valor da despesa média mensal familiar (Cruzados [1987], Reais [1995]) - casas decimais:  padrão = 2, máximo = 2
172	Percentual da despesa média mensal familiar (%) - casas decimais:  padrão = 2, máximo = 2
173	Valor da despesa média mensal familiar em alimentação (Cruzados [1987], Reais [1995]) - casas decimais:  padrão = 2, máximo = 2
174	Percentual da despesa média mensal familiar em alimentação (%) - casas decimais:  padrão = 2, máximo = 2
175	Valor da despesa média mensal familiar em alimentação no domicílio e artigos de limpeza (Cruzados [1987], Reais [1995]) - casas decimais:  padrão = 2, máximo = 2
176	Valor do recebimento médio mensal familiar (Cruzados [1987], Reais [1995]) - casas decimais:  padrão = 2, máximo = 2
177	Percentual do recebimento médio mensal familiar (%) - casas decimais:  padrão = 2, máximo = 2
178	Valor da dedução média mensal familiar (Cruzados) - casas decimais:  padrão = 2, máximo = 2
179	Percentual da dedução média mensal familiar (%) - casas decimais:  padrão = 2, máximo = 2
180	Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas) - casas decimais:  padrão = 3, máximo = 3
181	Número de cabeças de bovinos nos estabelecimentos agropecuários com pecuária de corte na agricultura não familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
183	Número de estabelecimentos agropecuários (Unidades) - casas decimais:  padrão = 0, máximo = 0
184	Área dos estabelecimentos agropecuários (Hectares) - casas decimais:  padrão = 0, máximo = 2
185	Pessoal ocupado em estabelecimentos agropecuários (Pessoas) - casas decimais:  padrão = 0, máximo = 0
186	Valor das cabeças de bovinos nos estabelecimentos agropecuários com pecuária de corte na agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
187	Total de cabeças compradas (Unidades) - casas decimais:  padrão = 0, máximo = 0
188	Total de cabeças vendidas (Unidades) - casas decimais:  padrão = 0, máximo = 0
189	Total de cabeças abatidas (Unidades) - casas decimais:  padrão = 0, máximo = 0
190	Valor das cabeças compradas (Reais) - casas decimais:  padrão = 0, máximo = 0
191	Valor das cabeças vendidas (Reais) - casas decimais:  padrão = 0, máximo = 0
192	Valor das cabeças abatidas (Reais) - casas decimais:  padrão = 0, máximo = 0
193	Quantidade produzida de leite (Litros) - casas decimais:  padrão = 0, máximo = 0
194	Valor das cabeças de bovinos nos estabelecimentos agropecuários com pecuária de corte na agricultura não familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
195	Vacas ordenhadas nos estabelecimentos agropecuários com pecuária de leite na agricultura familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
196	Vacas ordenhadas nos estabelecimentos agropecuários com pecuária de leite na agricultura não familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
197	Leite produzido nos estabelecimentos agropecuários com pecuária de leite na agricultura familiar (Mil litros) - casas decimais:  padrão = 0, máximo = 3
198	Leite produzido nos estabelecimentos agropecuários com pecuária de leite na agricultura não familiar (Mil litros) - casas decimais:  padrão = 0, máximo = 3
199	Valor do leite produzido nos estabelecimentos agropecuários com pecuária de leite na agricultura familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
200	Valor do leite produzido nos estabelecimentos agropecuários com pecuária de leite na agricultura não familiar (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
201	Número de pés colhidos (Unidades) - casas decimais:  padrão = 0, máximo = 0
202	Número de cabeças de suínos nos estabelecimentos agropecuários com suínos na agricultura familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
203	Número de cabeças de suínos nos estabelecimentos agropecuários com suínos na agricultura não familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
204	Valor das cabeças de suínos nos estabelecimentos agropecuários com suínos na agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
205	Valor das cabeças de suínos nos estabelecimentos agropecuários com suínos na agricultura não familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
206	Valor das aves nos estabelecimentos agropecuários com aves na agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
207	Valor das aves nos estabelecimentos agropecuários com aves na agricultura não familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
208	Número de cabeças de aves nos estabelecimentos agropecuários com aves na agricultura familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
209	Número de cabeças de aves nos estabelecimentos agropecuários com aves na agricultura não familiar (Cabeças) - casas decimais:  padrão = 0, máximo = 0
210	Quantidade produzida de ovos nos estabelecimentos agropecuários que produziram ovos na agricultura familiar (Mil dúzias) - casas decimais:  padrão = 0, máximo = 0
211	Número de árvores existentes (Unidades) - casas decimais:  padrão = 0, máximo = 0
212	Número de informantes de árvores (Unidades) - casas decimais:  padrão = 0, máximo = 0
213	Quantidade produzida de ovos nos estabelecimentos agropecuários que produziram ovos na agricultura não familiar (Mil dúzias) - casas decimais:  padrão = 0, máximo = 0
214	Quantidade produzida (unidade de medida: vide classificação 'Produtos da lavoura temporária') - casas decimais:  padrão = 0, máximo = 5
215	Valor da produção (Mil Cruzeiros [1974 a 1985, 1990 a 1992], Mil Cruzados [1986 a 1988], Mil Cruzados Novos [1989], Mil Cruzeiros Reais [1993], Mil Reais [1994 a 2023]) - casas decimais:  padrão = 0, máximo = 0
216	Área colhida (Hectares) [1920, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006] - casas decimais:  padrão = 0, máximo = 0
217	Nascidos vivos registrados no ano (Pessoas) - casas decimais:  padrão = 0, máximo = 0
218	Nascidos vivos ocorridos no ano (Pessoas) - casas decimais:  padrão = 0, máximo = 0
219	Pessoas moradoras com 5 anos ou mais de idade que frequentam escola (Habitantes) - casas decimais:  padrão = 0, máximo = 0
220	Nascidos vivos ocorridos e registrados no ano com mesmo lugar de nascimento e residência da mãe (Pessoas) - casas decimais:  padrão = 0, máximo = 0
221	Número de casamentos entre cônjuges masculino e feminino (Unidades) - casas decimais:  padrão = 0, máximo = 0
222	Número de casamentos entre cônjuges masculino e feminino solteiros (Unidades) - casas decimais:  padrão = 0, máximo = 0
223	Número de óbitos registrados no ano (Pessoas) - casas decimais:  padrão = 0, máximo = 0
224	Número de óbitos ocorridos e registrados no ano (Pessoas) - casas decimais:  padrão = 0, máximo = 0
225	Número de óbitos fetais ocorridos e registrados no ano (Pessoas) - casas decimais:  padrão = 0, máximo = 0
226	Número de óbitos fetais com 28 semanas ou mais ocorridos e registrados no ano (Pessoas) - casas decimais:  padrão = 0, máximo = 0
227	Número de processos de separação judicial encerrados em 1ª instância (Unidades) - casas decimais:  padrão = 0, máximo = 0
228	Número de separações judiciais concedidas em 1ª instância (Unidades) - casas decimais:  padrão = 0, máximo = 0
229	Número de filhos de casais envolvidos em separações judiciais concedidas em 1ª instância (Pessoas) - casas decimais:  padrão = 0, máximo = 0
230	Número de processos de divórcio encerrados em 1ª instância (Unidades) - casas decimais:  padrão = 0, máximo = 0
231	Número de divórcios concedidos em 1ª instância (Unidades) - casas decimais:  padrão = 0, máximo = 0
232	Número de filhos menores de idade de casais envolvidos em separações judiciais concedidas em 1ª instância (Pessoas) - casas decimais:  padrão = 0, máximo = 0
233	Número de filhos menores de idade de casais envolvidos em divórcios concedidos em 1ª instância sem recursos (Unidades) - casas decimais:  padrão = 0, máximo = 0
234	Número de separações judiciais concedidas em 1ª instância a casais com filhos menores de idade (Unidades) - casas decimais:  padrão = 0, máximo = 0
235	Número de divórcios concedidos em 1ª instância a casais com filhos menores de idade (Unidades) - casas decimais:  padrão = 0, máximo = 0
236	Número de filhos de casais envolvidos em divórcios concedidos em 1ª instância (Pessoas) - casas decimais:  padrão = 0, máximo = 0
237	Pessoas moradoras em domicílios particulares permanentes (Pessoas) - casas decimais:  padrão = 0, máximo = 0
238	Valor dos ovos produzidos nos estabelecimentos agropecuários que produziram ovos na agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
239	Valor dos ovos produzidos nos estabelecimentos agropecuários que produziram ovos na agricultura não familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
240	Área plantada nas lavouras permanentes nos estabelecimentos agropecuários com agricultura familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
241	Pessoas de 4 anos ou mais de idade (Pessoas) - casas decimais:  padrão = 0, máximo = 0
242	Pessoas de 4 anos ou mais de idade que frequentam escola (Pessoas) - casas decimais:  padrão = 0, máximo = 0
243	Pessoas não residentes no município de residência atual em 01/09/91 (Pessoas) - casas decimais:  padrão = 0, máximo = 0
244	Chefes de domicílios particulares permanentes (Pessoas) - casas decimais:  padrão = 0, máximo = 0
245	Área plantada nas lavouras permanentes nos estabelecimentos agropecuários com agricultura não familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
246	Média de moradores em domicílios particulares permanentes (Pessoas) - casas decimais:  padrão = 2, máximo = 2
247	População residente em domicílios particulares permanentes (Pessoas) - casas decimais:  padrão = 0, máximo = 0
248	Índice de Gini do recebimento médio mensal das famílias (Índice) - casas decimais:  padrão = 4, máximo = 4
249	Quantidade produzida nas lavouras permanentes nos estabelecimentos agropecuários com agricultura familiar (Toneladas) - casas decimais:  padrão = 0, máximo = 0
250	Quantidade produzida nas lavouras permanentes nos estabelecimentos agropecuários com agricultura não familiar (Toneladas) - casas decimais:  padrão = 0, máximo = 0
251	Valor da produção das lavouras permanentes nos estabelecimentos agropecuários com agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
252	Valor da produção das lavouras permanentes nos estabelecimentos agropecuários com agricultura não familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
253	Área plantada nas lavouras temporárias nos estabelecimentos agropecuários com agricultura familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
262	Área plantada nas lavouras temporárias nos estabelecimentos agropecuários com agricultura não familiar (Hectares) - casas decimais:  padrão = 0, máximo = 2
263	Quantidade produzida nas lavouras temporárias nos estabelecimentos agropecuários com agricultura familiar (Toneladas) - casas decimais:  padrão = 0, máximo = 3
264	Quantidade produzida nas lavouras temporárias nos estabelecimentos agropecuários com agricultura não familiar (Toneladas) - casas decimais:  padrão = 0, máximo = 3
265	Valor da produção das lavouras temporárias nos estabelecimentos agropecuários com agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
266	Valor da produção das lavouras temporárias nos estabelecimentos agropecuários com agricultura não familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
267	Receita agropecuária indireta dos estabelecimentos agropecuários com agricultura familiar (Reais) - casas decimais:  padrão = 0, máximo = 0
